Collonge-Bellerive;1245
Collonge-Bellerive;1246
Corsier (GE);1246
Anières;1247
Anières;1248
Hermance;1248
Anières;1251
Corsier (GE);1251
Gy;1251
Meinier;1251
Meinier;1252
Chêne-Bougeries;1253
Cologny;1253
Vandoeuvres;1253
Gy;1254
Jussy;1254
Meinier;1254
Presinge;1254
Troinex;1255
Veyrier;1255
Lancy;1256
Plan-les-Ouates;1256
Troinex;1256
Veyrier;1256
Bardonnex;1257
Plan-les-Ouates;1257
Troinex;1257
Bardonnex;1258
Perly-Certoux;1258
Nyon;1260
Prangins;1260
Longirod;1261
Marchissy;1261
Le Vaud;1261
Eysins;1262
Crassier;1263
Arzier-Le Muids;1264
Saint-Cergue;1264
Saint-Cergue;1265
Duillier;1266
Coinsins;1267
Vich;1267
Begnins;1268
Bursins;1268
Burtigny;1268
Vinzel;1268
Bassins;1269
Trélex;1270
Givrins;1271
Genolier;1272
Givrins;1272
Arzier-Le Muids;1273
Grens;1274
Signy-Avenex;1274
Trélex;1274
Chéserex;1275
La Rippe;1275
Chéserex;1276
Gingins;1276
Saint-Cergue;1276
Arnex-sur-Nyon;1277
Borex;1277
La Rippe;1278
Bogis-Bossey;1279
Chavannes-de-Bogis;1279
Russin;1281
Satigny;1281
Dardagny;1283
Chancy;1284
Avusy;1285
Chancy;1285
Bernex;1286
Soral;1286
Laconnex;1287
Aire-la-Ville;1288
Chavannes-des-Bois;1290
Mies;1290
Collex-Bossy;1290
Genthod;1290
Versoix;1290
Commugny;1291
Genève;1292
Pregny-Chambésy;1292
Bellevue;1293
Genthod;1293
Bellevue;1294
Genthod;1294
Mies;1295
Tannay;1295
Commugny;1296
Coppet;1296
Commugny;1297
Coppet;1297
Founex;1297
Céligny;1298
Crans-près-Céligny;1299
Vufflens-la-Ville;1302
Penthaz;1303
Cossonay;1304
Dizy;1304
Senarclens;1304
Penthalaz;1305
Bettens;1306
Daillens;1306
Lussery-Villars;1307
La Chaux (Cossonay);1308
Eclépens;1312
Ferreyres;1313
La Sarraz;1315
La Chaux (Cossonay);1316
Chevilly;1316
Orny;1317
Pompaples;1318
Arnex-sur-Orbe;1321
Croy;1322
Romainmôtier-Envy;1323
Premier;1324
Mont-la-Ville;1325
Vaulion;1325
Juriens;1326
Bretonnières;1329
Vallorbe;1337
Ballaigues;1338
Le Chenit;1341
L'Abbaye;1342
Le Lieu;1343
L'Abbaye;1344
Le Lieu;1345
L'Abbaye;1346
Le Chenit;1347
Le Chenit;1348
Orbe;1350
Agiez;1352
Bofflens;1353
Montcherand;1354
L'Abergement;1355
Sergey;1355
Les Clées;1356
Lignerolle;1357
Valeyres-sous-Rances;1358
Orny;1372
Bavois;1372
Chavornay;1373
Corcelles-sur-Chavornay;1374
Penthéréaz;1375
Goumoëns;1376
Oulens-sous-Echallens;1377
Cheseaux-Noréaz;1400
Cuarny;1400
Yverdon-les-Bains;1400
Cuarny;1404
Villars-Epeney;1404
Pomy;1405
Cronay;1406
Bioley-Magnoux;1407
Donneloye;1407
Donneloye;1408
Montanaire;1409
Prévondavaux;1410
Montanaire;1410
Ursins;1412
Valeyres-sous-Ursins;1412
Orzens;1413
Démoret;1415
Molondin;1415
