1244;Choulex
1244;Meinier
1244;Presinge
1245;Collonge-Bellerive
1246;Collonge-Bellerive
1246;Corsier (GE)
1247;Anières
1248;Anières
1248;Hermance
1251;Anières
1251;Corsier (GE)
1251;Gy
1251;Meinier
1252;Meinier
1253;Chêne-Bougeries
1253;Cologny
1253;Vandoeuvres
1254;Gy
1254;Jussy
1254;Meinier
1254;Presinge
1255;Troinex
1255;Veyrier
1256;Lancy
1256;Plan-les-Ouates
1256;Troinex
1256;Veyrier
1257;Bardonnex
1257;Plan-les-Ouates
1257;Troinex
1258;Bardonnex
1258;Perly-Certoux
1260;Nyon
1260;Prangins
1261;Longirod
1261;Marchissy
1261;Le Vaud
1262;Eysins
1263;Crassier
1264;Arzier-Le Muids
1264;Saint-Cergue
1265;Saint-Cergue
1266;Duillier
1267;Coinsins
1267;Vich
1268;Begnins
1268;Bursins
1268;Burtigny
1268;Vinzel
1269;Bassins
1270;Trélex
1271;Givrins
1272;Genolier
1272;Givrins
1273;Arzier-Le Muids
1274;Grens
1274;Signy-Avenex
1274;Trélex
1275;Chéserex
1275;La Rippe
1276;Chéserex
1276;Gingins
1276;Saint-Cergue
1277;Arnex-sur-Nyon
1277;Borex
1278;La Rippe
1279;Bogis-Bossey
1279;Chavannes-de-Bogis
1281;Russin
1281;Satigny
1283;Dardagny
1284;Chancy
1285;Avusy
1285;Chancy
1286;Bernex
1286;Soral
1287;Laconnex
1288;Aire-la-Ville
1290;Chavannes-des-Bois
1290;Mies
1290;Collex-Bossy
1290;Genthod
1290;Versoix
1291;Commugny
1292;Genève
1292;Pregny-Chambésy
1293;Bellevue
1293;Genthod
1294;Bellevue
1294;Genthod
1295;Mies
1295;Tannay
1296;Commugny
1296;Coppet
1297;Commugny
1297;Coppet
1297;Founex
1298;Céligny
1299;Crans-près-Céligny
1302;Vufflens-la-Ville
1303;Penthaz
1304;Cossonay
1304;Dizy
1304;Senarclens
1305;Penthalaz
1306;Bettens
1306;Daillens
1307;Lussery-Villars
1308;La Chaux (Cossonay)
1312;Eclépens
1313;Ferreyres
1315;La Sarraz
1316;La Chaux (Cossonay)
1316;Chevilly
1317;Orny
1318;Pompaples
1321;Arnex-sur-Orbe
1322;Croy
1323;Romainmôtier-Envy
1324;Premier
1325;Mont-la-Ville
1325;Vaulion
1326;Juriens
1329;Bretonnières
1337;Vallorbe
1338;Ballaigues
1341;Le Chenit
1342;L'Abbaye
1343;Le Lieu
1344;L'Abbaye
1345;Le Lieu
1346;L'Abbaye
1347;Le Chenit
1348;Le Chenit
1350;Orbe
1352;Agiez
1353;Bofflens
1354;Montcherand
1355;L'Abergement
1355;Sergey
1356;Les Clées
1357;Lignerolle
1358;Valeyres-sous-Rances
1372;Orny
1372;Bavois
1373;Chavornay
1374;Corcelles-sur-Chavornay
1375;Penthéréaz
1376;Goumoëns
1377;Oulens-sous-Echallens
1400;Cheseaux-Noréaz
1400;Cuarny
1400;Yverdon-les-Bains
1404;Cuarny
1404;Villars-Epeney
1405;Pomy
1406;Cronay
1407;Bioley-Magnoux
1407;Donneloye
1408;Donneloye
1409;Montanaire
1410;Prévondavaux
1410;Montanaire
1412;Ursins
1412;Valeyres-sous-Ursins
1413;Orzens
1415;Démoret
1415;Molondin
1416;Pailly
1417;Essertines-sur-Yverdon
1418;Vuarrens
1420;Fiez
1421;Fontaines-sur-Grandson
1421;Grandevent
1422;Grandson
1423;Bonvillars
1423;Tévenon
1424;Champagne
1425;Onnens (VD)
1426;Concise
1426;Corcelles-près-Concise
1427;Bonvillars
1428;Concise
1428;Mutrux
1428;Provence
1429;Giez
1430;Orges
1431;Novalles
1431;Vugelles-La Mothe
1432;Belmont-sur-Yverdon
1432;Valeyres-sous-Ursins
1432;Yverdon-les-Bains
1433;Suchy
1434;Ependes (VD)
1435;Chavornay
1435;Essert-Pittet
