Beckenried;6376
Bedano;6930
Bedigliora;6981
Bedretto;6781
Beggingen;8226
Beggingen;8228
Begnins;1268
Beinwil (Freiamt);5637
Beinwil (SO);2827
Beinwil (SO);4229
Beinwil am See;5712
Belfaux;1782
Bellach;4500
Bellach;4512
Bellevue;1293
Bellevue;1294
Bellikon;5454
Bellikon;8967
Bellinzona;6500
Bellinzona;6503
Bellinzona;6582
Bellmund;2562
Bellmund;2563
Bellmund;2564
Bellwald;3997
Belmont-Broye;1563
Belmont-Broye;1564
Belmont-Broye;1580
Belmont-Broye;1773
Belmont-Broye;1776
Belmont-sur-Lausanne;1092
Belmont-sur-Yverdon;1432
Belp;3086
Belp;3115
Belp;3122
Belp;3123
Belp;3124
Belp;3125
Belprahon;2744
Benken (SG);8717
Benken (ZH);8463
Bennwil;4431
Bennwil;4434
Bennwil;4457
Bercher;1038
Berg (SG);9300
Berg (SG);9305
Berg (SG);9306
Berg (TG);8570
Berg (TG);8572
Berg (TG);8576
Berg (TG);8584
Berg am Irchel;8415
Bergdietikon;8962
Bergdietikon;8967
Bergün/Bravuogn;7482
Bergün/Bravuogn;7484
Berikon;5621
Berikon;8964
Berikon;8965
Beringen;8222
Beringen;8223
Berken;3376
Berlingen;8267
Bern;3004
Bern;3005
Bern;3006
Bern;3007
Bern;3008
Bern;3010
Bern;3011
Bern;3012
Bern;3013
Bern;3014
Bern;3015
Bern;3018
Bern;3019
Bern;3020
Bern;3027
Bern;3032
Bern;3037
Bern;3048
Bern;3063
Bern;3072
Bern;3073
Bern;3084
Bern;3097
Berneck;9411
Berneck;9434
Berneck;9435
Berneck;9442
Bernex;1232
Bernex;1233
Bernex;1236
Bernex;1286
Berolle;1149
Beromünster;6025
Beromünster;6028
Beromünster;6215
Beromünster;6221
Beromünster;6222
Besenbüren;5627
Bettenhausen;3366
Bettens;1042
Bettens;1306
Bettingen;4126
Bettlach;2544
Bettmeralp;3983
Bettmeralp;3991
Bettmeralp;3992
Bettmeralp;3994
Bettwiesen;9553
Bettwil;5618
Bettwil;5632
Beurnevésin;2935
Bevaix;2022
Bever;7502
Bex;1880
Bex;1882
Biasca;6710
Biberist;4500
Biberist;4528
Biberist;4562
Biberist;4574
Biberstein;5023
Bichelsee-Balterswil;8362
Bichelsee-Balterswil;8363
Biel-Benken;4105
Biel/Bienne;2502
Biel/Bienne;2503
Biel/Bienne;2504
Biel/Bienne;2505
Biel/Bienne;2532
Biezwil;4585
Biglen;3507
Billens-Hennens;1681
Binn;3996
Binningen;4053
Binningen;4101
Binningen;4102
Bioggio;6928
Bioggio;6933
Bioggio;6934
Bioggio;6935
Bioggio;6982
Bioggio;6992
Bioggio;6993
Bioley-Magnoux;1045
Bioley-Magnoux;1407
Bioley-Orjulaz;1042
